Fondsposition per,"05.Juni2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"STMMI","STMICROELECTRONICS NV","IT","Aktien","32.527.163,46","0,32","32.527.163,46","517.866,00","62,81","Frankreich","Borsa Italiana","EUR"
"BN","DANONE SA","Nichtzyklische Konsumgüter","Aktien","32.358.874,62","0,32","32.358.874,62","502.311,00","64,42","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"EOAN","E.ON N","Versorger","Aktien","31.991.465,72","0,32","31.991.465,72","1.750.559,00","18,27","Deutschland","Xetra","EUR"
"STAN","STANDARD CHARTERED PLC","Finanzwesen","Aktien","31.634.237,32","0,31","31.634.237,32","1.413.119,00","22,39","Vereinigtes Königreich","London Stock Exchange","GBP"
"CABK","CAIXABANK SA","Finanzwesen","Aktien","31.570.613,40","0,31","31.570.613,40","2.747.660,00","11,49","Spanien","Bolsa De Madrid","EUR"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","30.266.776,44","0,30","30.266.776,44","1.748.148,00","17,31","Vereinigtes Königreich","London Stock Exchange","GBP"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrie","Aktien","29.839.975,28","0,29","29.839.975,28","386.228,00","77,26","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SREN","SWISS RE AG","Finanzwesen","Aktien","29.713.639,56","0,29","29.713.639,56","230.858,00","128,71","Schweiz","SIX Swiss Exchange","CHF"
"RWE","RWE AG","Versorger","Aktien","29.575.952,00","0,29","29.575.952,00","528.142,00","56,00","Deutschland","Xetra","EUR"
"LR","LEGRAND SA","Industrie","Aktien","29.211.696,00","0,29","29.211.696,00","202.859,00","144,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LONN","LONZA GROUP AG","Gesundheitsversorgung","Aktien","28.974.930,48","0,29","28.974.930,48","54.773,00","529,00","Schweiz","SIX Swiss Exchange","CHF"
"SAND","SANDVIK","Industrie","Aktien","28.914.500,50","0,29","28.914.500,50","829.916,00","34,84","Schweden","Nasdaq Omx Nordic","SEK"
"RACE","FERRARI NV","Zyklische Konsumgüter ","Aktien","28.302.486,40","0,28","28.302.486,40","94.216,00","300,40","Italien","Borsa Italiana","EUR"
"RKT","RECKITT BENCKISER GROUP PLC","Nichtzyklische Konsumgüter","Aktien","27.647.595,66","0,27","27.647.595,66","524.801,00","52,68","Vereinigtes Königreich","London Stock Exchange","GBP"
"BAYN","BAYER AG","Gesundheitsversorgung","Aktien","27.633.255,04","0,27","27.633.255,04","764.194,00","36,16","Deutschland","Xetra","EUR"
"HLN","HALEON PLC","Gesundheitsversorgung","Aktien","27.242.165,16","0,27","27.242.165,16","6.980.153,00","3,90","Vereinigtes Königreich","London Stock Exchange","GBP"
"MBG","MERCEDES-BENZ GROUP N AG","Zyklische Konsumgüter ","Aktien","27.233.514,88","0,27","27.233.514,88","567.424,00","47,99","Deutschland","Xetra","EUR"
"ORA","ORANGE SA","Kommunikation","Aktien","26.685.697,17","0,26","26.685.697,17","1.530.582,00","17,43","Frankreich","Nyse Euronext - Euronext Paris","EUR"
